TeamName,Tournament Wins,WinPercentage,PointDIFF,WAB,Top30Wins,ADJOE,ADJDE
Baylor,1,81.25,412,8.9013775750893,8.0,117.4986960698,90.715058861255
Kentucky,0,78.78787878787878,444,6.8645509124765,5.0,119.1036522947,93.870021185153
Purdue,2,79.41176470588235,375,6.9998614910975,6.0,122.63005888206,97.516121635686
UCLA,2,78.125,370,5.0482506526856,2.0,115.13383955908,91.629914488005
St Mary's CA,1,77.41935483870968,259,3.9319772929256,2.0,107.80746389695,90.103906150652
Texas,1,65.625,279,3.3508025380467,4.0,111.54730667703,90.498861438415
Murray St,1,93.10344827586206,406,3.5083357530606,1.0,109.62371619674,95.010750370734
North Carolina,5,72.72727272727273,191,4.2537974129264,3.0,112.82530527387,95.906519702738
Marquette,0,61.29032258064516,109,0.54264889283772,3.0,107.90987818095,95.354606834064
San Francisco,0,71.875,298,1.6312476827548,0.0,109.43667835659,92.173250830006
Virginia Tech,0,65.71428571428571,296,1.7311843041417,3.0,114.68835594153,94.937521461537
Indiana,0,60.60606060606061,183,0.21248520066147,3.0,107.96654389092,90.51144746694
Akron,0,70.96774193548387,159,-4.2720512959818,0.0,104.82276263046,102.6686524318
Yale,0,62.06896551724138,59,-4.8708377066107,0.0,99.77868946601,98.436558858583
St Peter's,3,62.06896551724138,114,-5.5706388830083,0.0,97.60364696861,94.076406417254
Norfolk St,0,77.77777777777777,187,-3.056959948515,0.0,99.935530972709,102.00928555121
Gonzaga,2,89.65517241379311,652,6.7080783260884,7.0,120.87999451898,88.481028436058
Duke,4,82.3529411764706,443,7.1819774518534,7.0,120.43428911492,94.380913822844
Texas Tech,2,73.52941176470588,387,6.565409447835,7.0,109.0882253411,85.505070714927
Arkansas,3,75.75757575757575,277,4.4596276234014,5.0,109.36442724056,91.964433373749
Connecticut,0,71.875,321,3.0695991066544,2.0,112.60495999978,94.794407325086
Alabama,0,59.375,114,1.9527626378133,4.0,115.87328220099,98.082894152308
Michigan St,1,64.70588235294117,124,2.8753690410146,3.0,110.87445847072,95.455860624472
Boise St,0,78.78787878787878,239,3.4942197118357,2.0,106.85341817094,91.85451815097
Memphis,1,67.74193548387096,218,1.3539380767945,3.0,110.39663311224,93.182546980595
Davidson,0,81.25,282,2.1330810435911,0.0,115.67330366056,101.44066570989
Notre Dame,1,67.74193548387096,155,1.8498172314093,3.0,111.87589573264,97.142695878905
New Mexico St,1,79.3103448275862,180,0.69846073459996,1.0,106.04852448564,97.458933319891
Vermont,0,84.375,450,-0.77612295631187,0.0,108.62433968825,97.445862263464
Montana St,0,78.125,209,-2.8345358863457,0.0,102.99990179417,100.83640322107
CS Fullerton,0,65.51724137931035,84,-5.0486802913869,0.0,101.99305321395,103.20041272288
Georgia St,0,60.0,27,-5.1415730484276,0.0,100.81728483537,99.368636361445
Kansas,6,82.3529411764706,355,10.4025139919,8.0,120.20288695146,92.857190696083
Auburn,1,84.375,374,7.4103130122522,2.0,112.6859022436,89.591501128528
Wisconsin,1,77.41935483870968,129,6.4466923153049,7.0,110.13942299219,93.796287563755
Providence,2,83.33333333333333,144,5.8652553166099,3.0,111.56283235149,96.926485284528
Iowa,0,74.28571428571429,437,4.5214326565915,4.0,121.04765167791,97.765754440436
LSU,0,66.66666666666667,316,2.2753025604657,3.0,105.80883559784,88.144335161966
USC,0,78.78787878787878,220,4.0839884185376,3.0,109.27517014332,96.000937575244
San Diego St,0,74.19354838709677,236,2.6116931517239,1.0,101.38913117317,86.366226209896
Creighton,1,66.66666666666667,102,1.7074825230891,2.0,104.18713926209,92.280238100442
Miami FL,3,69.6969696969697,125,2.5748828920026,5.0,114.28916998503,100.55965612659
Iowa St,2,62.5,111,2.8200146116171,6.0,103.14371129969,88.718727790886
Richmond,1,65.71428571428571,120,-1.6464986552386,0.0,107.71591223465,99.424541949495
S Dakota St,0,87.5,351,1.4824179276844,0.0,115.01910403405,103.99186332468
Colgate,0,66.66666666666667,257,-6.1056803580279,1.0,106.41615496006,103.56104455126
Jacksonville St,0,65.51724137931035,127,-5.2218891128049,0.0,104.01078303469,101.66621138715
TX Southern,0,60.0,112,-6.7743062009348,0.0,96.904827399327,98.639978114954
Arizona,2,91.17647058823529,579,8.7539284925405,5.0,118.03498515398,92.432939066659
Villanova,4,78.78787878787878,315,7.274158927738,3.0,117.13357946283,92.974639621109
Tennessee,1,78.78787878787878,344,7.946324863576,5.0,110.08587164901,86.931526320697
Illinois,1,70.96774193548387,252,4.1430227852144,5.0,113.583413451,93.134913994498
Houston,3,85.29411764705883,576,6.1558659832027,1.0,117.12226649461,88.879107657536
Colorado St,0,82.75862068965517,214,4.2973417720087,2.0,112.47638691306,98.707120587488
Ohio St,1,63.333333333333336,160,1.3170496435911,3.0,116.28556881187,99.469084176497
Seton Hall,0,66.66666666666667,158,1.9179382739874,2.0,106.77429046999,93.285092163649
TCU,1,62.5,99,2.9177128829935,5.0,107.37454880639,92.867526532448
Loyola-Chicago,0,77.41935483870968,348,1.7566420472494,1.0,109.06791022052,93.905438895105
Michigan,2,54.83870967741935,98,0.15282567658439,4.0,113.88480804642,96.680862039997
UAB,0,78.125,378,-0.10810605858636,0.0,111.10269370647,98.066184372194
Chattanooga,0,78.125,234,0.20102804165751,0.0,108.37896341338,98.498534173875
Longwood,0,75.0,201,-3.2600013211096,0.0,104.74322257062,103.48159800976
Delaware,0,63.63636363636363,93,-5.4539322038035,0.0,106.83770733175,103.22130314661
Wright St,0,60.60606060606061,117,-8.3969566331447,0.0,104.20803172186,106.86329883574
