TeamName,Tournament Wins,WinPercentage,PointDIFF,WAB,Top30Wins,ADJOE,ADJDE,PomOrdinalRank
Michigan,3,83.33333333333333,261,7.0648254920579,6.0,117.66756726568,90.811137365481,1
Alabama,2,80.0,294,6.8676933425676,4.0,110.70220281844,88.631250362057,2
Texas,0,73.07692307692308,167,4.1391750873041,3.0,113.54824500302,92.773778013186,7
Florida St,2,72.72727272727273,189,2.3892747929294,0.0,117.23102490247,93.66940978363,4
Colorado,1,73.33333333333333,293,4.8617582119052,4.0,115.39226586393,91.74844074975,5
BYU,0,76.0,218,3.5480456198921,1.0,111.51860411298,92.648107978008,6
Connecticut,0,68.18181818181819,174,2.0310038849877,1.0,113.93998505566,92.285772470251,4
LSU,1,66.66666666666667,183,2.2446527544047,1.0,118.92641190864,99.82099516675,8
St Bonaventure,0,80.0,203,1.8712142374979,0.0,110.11630086887,91.854742115115,7
Maryland,1,53.57142857142857,69,0.061590016052011,2.0,110.06311612092,94.177109117371,8
Michigan St,0,55.55555555555556,-41,1.1695047250828,4.0,105.42548948616,94.105970388002,14
UCLA,4,65.38461538461539,113,2.6365781486699,2.0,114.24304449545,96.169271088545,11
Georgetown,0,52.0,17,-1.1038004961747,3.0,107.16249690835,93.696589235001,14
UNC Greensboro,0,72.41379310344827,179,-3.3649345489498,0.0,101.6167280994,97.397696445479,25
Abilene Chr,1,82.6086956521739,335,-1.05798250625,0.0,100.94607903259,92.613568015432,22
Iona,0,70.58823529411765,107,-3.1894331525335,0.0,100.74894727238,98.759407130815,45
Mt St Mary's,0,54.54545454545455,31,-7.2159842725511,0.0,95.176165544359,99.874874605814,54
TX Southern,0,65.21739130434783,80,-4.350256654057,0.0,97.923519616447,103.17495365152,56
Gonzaga,5,100.0,598,8.4963882133173,5.0,125.3409182426,89.617798108665,1
Iowa,1,72.41379310344827,343,5.488506894757,5.0,123.72255078977,96.475875636462,2
Kansas,1,70.37037037037037,171,4.3158924675204,3.0,108.66635286347,90.21211509884,6
Virginia,0,75.0,196,3.528849693819,1.0,114.873535621,93.895637703148,3
Creighton,2,71.42857142857143,243,3.2475962538537,4.0,114.24258525613,94.067447536771,5
USC,3,75.86206896551724,280,5.5396927708612,4.0,113.30117481458,90.243071038522,4
