TeamName,Tournament Wins,WinPercentage,PointDIFF,WAB,Top30Wins,ADJOE,ADJDE,PomOrdinalRank
South Carolina,0,90.9090909090909,750,16.640116871071,16.0,123.62125092355,71.411105527517,0
Duke,0,78.78787878787878,519,10.264431980177,7.0,111.87879036172,73.26222683653,0
North Carolina,0,79.41176470588235,434,8.3728206391693,7.0,107.52327140351,75.08154771792,0
Maryland,0,76.66666666666667,319,7.6864297720731,6.0,117.97701542274,85.128801445259,0
Alabama,0,74.19354838709677,485,5.1720362290581,4.0,113.75118713721,79.677141472639,0
West Virginia,0,77.41935483870968,632,4.7158474856191,2.0,110.54097323544,74.387637145854,0
Vanderbilt,0,68.75,473,4.2864983698042,3.0,117.43889464296,84.832724683458,0
Utah,0,73.33333333333333,408,3.8897730239702,2.0,111.71071643817,82.501543290467,0
Indiana,0,61.29032258064516,193,3.0419816565743,3.0,109.06787108301,81.108846953468,0
Oregon,0,63.333333333333336,160,3.4343019070908,3.0,104.31252983145,79.070223444193,0
Columbia,0,82.14285714285714,432,1.0346501596999,0.0,107.90017350676,86.629276489851,0
Washington,0,59.375,258,1.1056891196348,1.0,112.70305862709,87.26560713416,0
WI Green Bay,0,84.375,363,-1.0210262417176,0.0,99.868332858238,88.7436801903,0
Norfolk St,0,87.09677419354838,525,0.051867632249194,0.0,96.705589164577,86.445941724625,0
Oregon St,0,54.54545454545455,22,-8.9820990782964,0.0,93.363361477396,89.364229623295,0
Lehigh,0,80.64516129032258,346,-3.568100071515,0.0,97.408424532052,89.864065185541,0
Tennessee Tech,0,82.75862068965517,256,-2.8083782203545,0.0,97.365576765305,93.60238450987,0
Texas,0,91.17647058823529,783,14.348538301378,13.0,119.0619867778,72.475895088756,0
TCU,0,91.17647058823529,690,10.608059771472,8.0,122.65106308119,81.308778540345,0
Notre Dame,0,83.87096774193549,700,10.667579453019,6.0,117.71942123855,72.286991656543,0
Ohio St,0,80.0,451,7.754730102893,5.0,110.798771054,76.255055573547,0
Tennessee,0,70.96774193548387,520,5.7068224414048,4.0,116.01743819769,82.152859118087,0
Michigan,0,68.75,397,5.8745108744781,3.0,113.19934163684,79.963086107376,0
Louisville,0,67.74193548387096,152,5.505936001785,2.0,109.64786246606,82.299221039817,0
Illinois,0,70.0,285,3.7068339979198,3.0,111.42102546214,81.540129775948,0
Creighton,0,81.25,275,5.5109779072553,0.0,114.12178316883,86.075938265272,0
Nebraska,0,65.625,245,3.4592782123941,4.0,114.78073675042,87.828750919824,0
Iowa St,0,66.66666666666667,336,2.288180744491,1.0,114.83076688003,86.295446894764,0
Princeton,0,75.0,280,-0.65740252624504,0.0,108.21596073587,86.245104716663,0
South Florida,0,69.6969696969697,183,-1.5769233518545,1.0,102.24438064039,86.59408993732,0
Montana St,0,90.3225806451613,461,0.13847446277073,0.0,98.250558062386,83.19794011619,0
SF Austin,0,84.375,411,-2.7067903150246,0.0,100.86696063909,92.649344533683,0
F Dickinson,0,89.65517241379311,350,-1.155940967225,0.0,93.982876512077,97.271094867121,0
High Point,0,63.333333333333336,202,-9.168284029055,0.0,89.440458366997,92.188960857352,0
William & Mary,0,40.0,-165,-14.968763440271,0.0,85.187525901394,98.31701447448,0
UCLA,0,93.75,671,14.515433141268,10.0,120.10759263807,73.409491936868,0
NC State,0,81.25,365,9.5208561989639,7.0,115.70269997099,80.934264359848,0
LSU,0,84.84848484848484,620,9.1260298608215,6.0,114.57072398126,79.079696980451,0
Baylor,0,79.41176470588235,611,6.8596340634615,3.0,112.18818261178,79.029186083024,0
Mississippi,0,66.66666666666667,524,4.76128865745,5.0,113.51451320953,77.916856639363,0
Florida St,0,74.19354838709677,497,4.7224741192727,3.0,116.26171812149,85.460828199428,0
Michigan St,0,70.0,466,4.9210738582219,4.0,110.26738839372,78.979231078887,0
Richmond,0,81.81818181818181,498,1.7796241049467,1.0,110.98933696816,85.547685048169,0
Georgia Tech,0,68.75,402,2.8919876737918,1.0,114.16242905067,83.75539193854,0
Harvard,0,85.18518518518519,475,1.1950693339461,1.0,101.32945159859,80.779356925007,0
George Mason,0,83.87096774193549,489,0.028584320043814,0.0,107.2234692777,85.213046791566,0
Ball St,0,78.125,363,-1.8480728749205,0.0,98.847026265678,84.289340704695,0
Grand Canyon,0,93.54838709677419,573,0.88758400415998,0.0,100.91733676718,86.813887575468,0
San Diego St,0,71.875,207,-4.8567844181504,0.0,96.729429034346,89.04848064604,0
Vermont,0,65.625,310,-7.6534085006372,0.0,97.697915082858,87.424403057016,0
Southern Univ,0,54.83870967741935,-24,-6.6773335199851,0.0,83.30256270607,86.840749210754,0
UC San Diego,0,53.125,136,-12.945068909725,0.0,86.868756855028,88.556604139699,0
USC,0,90.3225806451613,670,13.294844488145,11.0,115.63422617013,72.143511607325,0
Connecticut,0,91.17647058823529,985,10.758147904883,4.0,126.87012555138,71.539566848463,0
Oklahoma,0,78.125,518,8.2743644644997,7.0,112.77100742561,76.934500430315,0
Kentucky,0,75.86206896551724,388,6.392827685076,5.0,113.71836273093,78.57026661326,0
Kansas St,0,78.78787878787878,684,5.0871404167079,2.0,117.13879757779,78.812002779566,0
Iowa,0,68.75,293,5.9029636256703,3.0,111.16653988385,78.781925983027,0
Oklahoma St,0,80.64516129032258,519,4.6669436307258,5.0,106.41014037952,78.60865698953,0
California,0,75.75757575757575,302,5.2643182027997,2.0,110.89629156567,82.077057103208,0
Mississippi St,0,65.625,393,2.682547391087,2.0,110.19860635687,82.772290455592,0
S Dakota St,0,90.0,414,2.9687497432245,0.0,108.3741690016,88.875961335942,0
Murray St,0,76.66666666666667,502,-1.783171880104,0.0,110.50220793602,93.072915583121,0
Fairfield,0,86.66666666666667,556,-0.94457663138705,0.0,100.55937001217,87.422409023892,0
Liberty,0,79.3103448275862,261,-1.5893249143652,0.0,103.64157559901,90.580429862731,0
FGCU,0,90.0,528,-0.70427287788262,0.0,100.8473448279,84.452406456196,0
Arkansas St,0,66.66666666666667,188,-7.8290395579835,0.0,93.000452814712,90.515971450683,0
UNC Greensboro,0,77.77777777777777,194,-3.4433982906833,0.0,92.750650806638,90.298040680092,0
