TeamName,Tournament Wins,WinPercentage,PointDIFF,WAB,Top30Wins
Baylor,1,81.25,412,8.9013775750893,8.0
Kentucky,0,78.78787878787878,444,6.8645509124765,5.0
Purdue,2,79.41176470588235,375,6.9998614910975,6.0
UCLA,2,78.125,370,5.0482506526856,2.0
St Mary's CA,1,77.41935483870968,259,3.9319772929256,2.0
Texas,1,65.625,279,3.3508025380467,4.0
Murray St,1,93.10344827586206,406,3.5083357530606,1.0
North Carolina,5,72.72727272727273,191,4.2537974129264,3.0
Marquette,0,61.29032258064516,109,0.54264889283772,3.0
San Francisco,0,71.875,298,1.6312476827548,0.0
Virginia Tech,0,65.71428571428571,296,1.7311843041417,3.0
Indiana,0,60.60606060606061,183,0.21248520066147,3.0
Akron,0,70.96774193548387,159,-4.2720512959818,0.0
Yale,0,62.06896551724138,59,-4.8708377066107,0.0
St Peter's,3,62.06896551724138,114,-5.5706388830083,0.0
Norfolk St,0,77.77777777777777,187,-3.056959948515,0.0
Gonzaga,2,89.65517241379311,652,6.7080783260884,7.0
Duke,4,82.3529411764706,443,7.1819774518534,7.0
Texas Tech,2,73.52941176470588,387,6.565409447835,7.0
Arkansas,3,75.75757575757575,277,4.4596276234014,5.0
Connecticut,0,71.875,321,3.0695991066544,2.0
Alabama,0,59.375,114,1.9527626378133,4.0
Michigan St,1,64.70588235294117,124,2.8753690410146,3.0
Boise St,0,78.78787878787878,239,3.4942197118357,2.0
Memphis,1,67.74193548387096,218,1.3539380767945,3.0
Davidson,0,81.25,282,2.1330810435911,0.0
Notre Dame,1,67.74193548387096,155,1.8498172314093,3.0
New Mexico St,1,79.3103448275862,180,0.69846073459996,1.0
Vermont,0,84.375,450,-0.77612295631187,0.0
Montana St,0,78.125,209,-2.8345358863457,0.0
CS Fullerton,0,65.51724137931035,84,-5.0486802913869,0.0
Georgia St,0,60.0,27,-5.1415730484276,0.0
Kansas,6,82.3529411764706,355,10.4025139919,8.0
Auburn,1,84.375,374,7.4103130122522,2.0
Wisconsin,1,77.41935483870968,129,6.4466923153049,7.0
Providence,2,83.33333333333333,144,5.8652553166099,3.0
Iowa,0,74.28571428571429,437,4.5214326565915,4.0
LSU,0,66.66666666666667,316,2.2753025604657,3.0
USC,0,78.78787878787878,220,4.0839884185376,3.0
San Diego St,0,74.19354838709677,236,2.6116931517239,1.0
Creighton,1,66.66666666666667,102,1.7074825230891,2.0
Miami FL,3,69.6969696969697,125,2.5748828920026,5.0
Iowa St,2,62.5,111,2.8200146116171,6.0
Richmond,1,65.71428571428571,120,-1.6464986552386,0.0
S Dakota St,0,87.5,351,1.4824179276844,0.0
Colgate,0,66.66666666666667,257,-6.1056803580279,1.0
Jacksonville St,0,65.51724137931035,127,-5.2218891128049,0.0
TX Southern,0,60.0,112,-6.7743062009348,0.0
Arizona,2,91.17647058823529,579,8.7539284925405,5.0
Villanova,4,78.78787878787878,315,7.274158927738,3.0
Tennessee,1,78.78787878787878,344,7.946324863576,5.0
Illinois,1,70.96774193548387,252,4.1430227852144,5.0
Houston,3,85.29411764705883,576,6.1558659832027,1.0
Colorado St,0,82.75862068965517,214,4.2973417720087,2.0
Ohio St,1,63.333333333333336,160,1.3170496435911,3.0
Seton Hall,0,66.66666666666667,158,1.9179382739874,2.0
TCU,1,62.5,99,2.9177128829935,5.0
Loyola-Chicago,0,77.41935483870968,348,1.7566420472494,1.0
Michigan,2,54.83870967741935,98,0.15282567658439,4.0
UAB,0,78.125,378,-0.10810605858636,0.0
Chattanooga,0,78.125,234,0.20102804165751,0.0
Longwood,0,75.0,201,-3.2600013211096,0.0
Delaware,0,63.63636363636363,93,-5.4539322038035,0.0
Wright St,0,60.60606060606061,117,-8.3969566331447,0.0
