0_ProbWin,0_TeamName,0_ADJOE,0_ADJDE,0_BARTHAG,0_EFG%,0_EFGD%,0_FTR,0_FTRD,0_TOR,0_TORD,0_ORB,0_DRB,0_2P%,0_2P%D,0_3P%,0_3P%D,0_3P%ODDIFF,0_3PR,0_3PRD,0_ADJ T.,0_Top30Wins,1_TeamName,1_ADJOE,1_ADJDE,1_BARTHAG,1_EFG%,1_EFGD%,1_FTR,1_FTRD,1_TOR,1_TORD,1_ORB,1_DRB,1_2P%,1_2P%D,1_3P%,1_3P%D,1_3P%ODDIFF,1_3PR,1_3PRD,1_ADJ T.,1_Top30Wins
1.0,Arizona,115.47419458473,86.463280342025,0.96535235854906,53.6,44.3,47.1,36.3,16.7,21.1,34.1,22.3,53.4,42.0,36.0,32.8,-101.11999999999978,25.8,31.4,66.9,6.0,TX Southern,101.16901188915,106.38132494733,0.35945469199951,49.4,48.9,46.5,32.6,19.9,18.7,34.0,34.2,50.0,48.0,32.0,34.2,30.09999999999991,31.4,28.5,63.7,1.0
0.0,TX Southern,101.16901188915,106.38132494733,0.35945469199951,49.4,48.9,46.5,32.6,19.9,18.7,34.0,34.2,50.0,48.0,32.0,34.2,30.09999999999991,31.4,28.5,63.7,1.0,Arizona,115.47419458473,86.463280342025,0.96535235854906,53.6,44.3,47.1,36.3,16.7,21.1,34.1,22.3,53.4,42.0,36.0,32.8,-101.11999999999978,25.8,31.4,66.9,6.0
0.7,Arkansas,113.32695455196,96.995130030074,0.85687665062976,50.2,48.6,37.3,38.5,16.6,22.6,35.6,34.2,49.1,46.6,35.0,35.3,-16.389999999999873,31.1,31.3,70.1,2.0,Wofford,102.47567316771,97.181335710561,0.64794941594563,51.6,46.9,38.0,36.5,17.3,20.1,29.3,27.7,49.5,47.3,37.1,30.8,241.14999999999986,32.9,31.8,61.5,1.0
0.30000000000000004,Wofford,102.47567316771,97.181335710561,0.64794941594563,51.6,46.9,38.0,36.5,17.3,20.1,29.3,27.7,49.5,47.3,37.1,30.8,241.14999999999986,32.9,31.8,61.5,1.0,Arkansas,113.32695455196,96.995130030074,0.85687665062976,50.2,48.6,37.3,38.5,16.6,22.6,35.6,34.2,49.1,46.6,35.0,35.3,-16.389999999999873,31.1,31.3,70.1,2.0
1.0,Butler,108.49960206296,89.650400266163,0.89975737680571,49.1,46.9,40.5,33.3,17.4,19.3,35.5,24.9,47.2,47.3,35.8,30.6,0.8599999999999,29.0,33.9,64.1,5.0,Texas,110.61261955301,91.386968055925,0.89986359737477,49.4,42.2,36.9,34.2,20.0,14.2,38.0,29.0,48.6,37.8,33.9,34.8,77.27999999999997,34.0,30.9,62.9,2.0
0.0,Texas,110.61261955301,91.386968055925,0.89986359737477,49.4,42.2,36.9,34.2,20.0,14.2,38.0,29.0,48.6,37.8,33.9,34.8,77.27999999999997,34.0,30.9,62.9,2.0,Butler,108.49960206296,89.650400266163,0.89975737680571,49.1,46.9,40.5,33.3,17.4,19.3,35.5,24.9,47.2,47.3,35.8,30.6,0.8599999999999,29.0,33.9,64.1,5.0
0.7,Cincinnati,106.38031746119,92.476598409884,0.83351506319806,50.4,44.5,37.8,25.4,21.3,20.3,37.3,31.7,50.5,42.0,33.3,32.9,-79.88,30.6,33.4,60.2,2.0,Purdue,110.14496901508,94.526299333705,0.85303072061908,50.7,45.5,42.5,38.5,20.0,17.8,36.2,31.1,51.0,42.3,33.5,35.0,-2.9500000000000455,32.3,31.0,65.0,4.0
0.30000000000000004,Purdue,110.14496901508,94.526299333705,0.85303072061908,50.7,45.5,42.5,38.5,20.0,17.8,36.2,31.1,51.0,42.3,33.5,35.0,-2.9500000000000455,32.3,31.0,65.0,4.0,Cincinnati,106.38031746119,92.476598409884,0.83351506319806,50.4,44.5,37.8,25.4,21.3,20.3,37.3,31.7,50.5,42.0,33.3,32.9,-79.88,30.6,33.4,60.2,2.0
1.0,Georgetown,111.4826319114,93.182956293837,0.88715412261178,50.9,46.6,44.1,43.9,19.2,20.6,34.3,31.3,50.4,42.7,34.7,35.9,-163.5699999999997,31.6,35.1,64.7,4.0,E Washington,110.83646750782,107.50782558123,0.58677771384804,55.4,52.0,35.6,35.1,15.9,17.7,29.3,30.6,52.3,49.0,39.6,38.4,366.72000000000025,43.2,35.0,68.6,1.0
0.0,E Washington,110.83646750782,107.50782558123,0.58677771384804,55.4,52.0,35.6,35.1,15.9,17.7,29.3,30.6,52.3,49.0,39.6,38.4,366.72000000000025,43.2,35.0,68.6,1.0,Georgetown,111.4826319114,93.182956293837,0.88715412261178,50.9,46.6,44.1,43.9,19.2,20.6,34.3,31.3,50.4,42.7,34.7,35.9,-163.5699999999997,31.6,35.1,64.7,4.0
