0_ProbWin,TeamID_0,TeamID_1,0_TeamName,0_ADJOE,0_ADJDE,0_BARTHAG,0_EFG%,0_EFGD%,0_FTR,0_FTRD,0_TOR,0_TORD,0_ORB,0_DRB,0_2P%,0_2P%D,0_3P%,0_3P%D,0_3P%ODDIFF,0_3PR,0_3PRD,0_ADJ T.,0_Top30Wins,0_PomOrdinalRank,1_TeamName,1_ADJOE,1_ADJDE,1_BARTHAG,1_EFG%,1_EFGD%,1_FTR,1_FTRD,1_TOR,1_TORD,1_ORB,1_DRB,1_2P%,1_2P%D,1_3P%,1_3P%D,1_3P%ODDIFF,1_3PR,1_3PRD,1_ADJ T.,1_Top30Wins,1_PomOrdinalRank
1.0,1125.0,1396.0,Belmont,113.42914466581,101.34943363558,0.78498333206762,57.8,48.9,28.1,27.7,15.4,16.3,25.6,24.3,59.5,47.2,37.1,34.7,420.8899999999999,43.8,34.7,72.5,0.0,14,Temple,109.24643961252,97.588784272038,0.78544801879402,50.1,50.3,33.0,33.7,15.7,20.8,26.6,29.6,50.4,51.1,33.1,32.7,-1.2699999999999818,37.7,38.2,70.1,1.0,19
0.0,1396.0,1125.0,Temple,109.24643961252,97.588784272038,0.78544801879402,50.1,50.3,33.0,33.7,15.7,20.8,26.6,29.6,50.4,51.1,33.1,32.7,-1.2699999999999818,37.7,38.2,70.1,1.0,19,Belmont,113.42914466581,101.34943363558,0.78498333206762,57.8,48.9,28.1,27.7,15.4,16.3,25.6,24.3,59.5,47.2,37.1,34.7,420.8899999999999,43.8,34.7,72.5,0.0,14
1.0,1192.0,1341.0,F Dickinson,104.78801421991,110.26774736977,0.35751207216712,54.5,51.5,35.5,30.2,19.4,20.4,29.4,33.1,51.2,51.6,40.4,34.3,93.45000000000005,35.0,38.5,68.3,0.0,52,Prairie View,100.96354732825,105.11203763526,0.38625692698726,48.8,50.9,44.2,46.6,17.4,24.7,29.8,34.0,49.6,53.5,31.5,30.8,-50.47000000000003,33.5,35.9,72.1,0.0,53
0.0,1341.0,1192.0,Prairie View,100.96354732825,105.11203763526,0.38625692698726,48.8,50.9,44.2,46.6,17.4,24.7,29.8,34.0,49.6,53.5,31.5,30.8,-50.47000000000003,33.5,35.9,72.1,0.0,53,F Dickinson,104.78801421991,110.26774736977,0.35751207216712,54.5,51.5,35.5,30.2,19.4,20.4,29.4,33.1,51.2,51.6,40.4,34.3,93.45000000000005,35.0,38.5,68.3,0.0,52
1.0,1113.0,1385.0,Arizona St,108.88610849047,97.888320216393,0.77284835814325,50.8,48.6,43.6,38.6,18.5,18.9,32.5,26.4,50.6,47.2,34.1,33.6,-244.23000000000002,35.7,43.5,71.7,2.0,16,St John's,109.10933043732,99.815928059734,0.73570442605063,52.3,50.8,29.4,39.0,14.1,21.0,21.4,29.7,51.2,50.5,36.2,34.1,-66.20000000000005,38.3,42.6,72.2,2.0,20
0.0,1385.0,1113.0,St John's,109.10933043732,99.815928059734,0.73570442605063,52.3,50.8,29.4,39.0,14.1,21.0,21.4,29.7,51.2,50.5,36.2,34.1,-66.20000000000005,38.3,42.6,72.2,2.0,20,Arizona St,108.88610849047,97.888320216393,0.77284835814325,50.8,48.6,43.6,38.6,18.5,18.9,32.5,26.4,50.6,47.2,34.1,33.6,-244.23000000000002,35.7,43.5,71.7,2.0,16
1.0,1295.0,1300.0,N Dakota St,105.79558114011,108.74568950352,0.42158072426487,53.8,53.6,32.1,26.2,15.8,14.6,20.7,25.4,52.4,52.9,36.8,36.6,467.1399999999999,48.2,35.7,66.4,0.0,50,NC Central,97.241401927341,107.46640130735,0.24052755368182,49.8,49.7,33.4,30.9,23.0,17.7,34.6,27.0,51.7,50.9,31.1,31.6,63.8599999999999,36.6,34.0,66.4,0.0,76
0.0,1300.0,1295.0,NC Central,97.241401927341,107.46640130735,0.24052755368182,49.8,49.7,33.4,30.9,23.0,17.7,34.6,27.0,51.7,50.9,31.1,31.6,63.8599999999999,36.6,34.0,66.4,0.0,76,N Dakota St,105.79558114011,108.74568950352,0.42158072426487,53.8,53.6,32.1,26.2,15.8,14.6,20.7,25.4,52.4,52.9,36.8,36.6,467.1399999999999,48.2,35.7,66.4,0.0,50
1.0,1120.0,1308.0,Auburn,119.40433509875,95.927166042261,0.92537008718219,54.2,51.8,31.0,36.6,17.5,25.3,32.7,32.9,51.3,50.4,38.1,35.6,319.8000000000002,49.6,44.1,69.3,3.0,4,New Mexico St,111.55682760766,98.799421182606,0.80164179620432,54.0,48.7,34.1,32.4,17.7,19.3,37.2,22.6,56.6,48.0,34.1,33.1,288.03,46.4,39.1,66.9,0.0,13
0.0,1308.0,1120.0,New Mexico St,111.55682760766,98.799421182606,0.80164179620432,54.0,48.7,34.1,32.4,17.7,19.3,37.2,22.6,56.6,48.0,34.1,33.1,288.03,46.4,39.1,66.9,0.0,13,Auburn,119.40433509875,95.927166042261,0.92537008718219,54.2,51.8,31.0,36.6,17.5,25.3,32.7,32.9,51.3,50.4,38.1,35.6,319.8000000000002,49.6,44.1,69.3,3.0,4
