0_ProbWin,0_TeamName,0_ADJOE,0_ADJDE,0_BARTHAG,0_EFG%,0_EFGD%,0_FTR,0_FTRD,0_TOR,0_TORD,0_ORB,0_DRB,0_2P%,0_2P%D,0_3P%,0_3P%D,0_3P%ODDIFF,0_3PR,0_3PRD,0_ADJ T.,0_Top30Wins,0_PomOrdinalRank,1_TeamName,1_ADJOE,1_ADJDE,1_BARTHAG,1_EFG%,1_EFGD%,1_FTR,1_FTRD,1_TOR,1_TORD,1_ORB,1_DRB,1_2P%,1_2P%D,1_3P%,1_3P%D,1_3P%ODDIFF,1_3PR,1_3PRD,1_ADJ T.,1_Top30Wins,1_PomOrdinalRank
0.51,Drake,112.16063932582,100.21058699035,0.78508851774654,54.5,48.4,25.2,29.7,15.2,18.8,31.6,24.9,54.4,49.7,36.6,30.8,39.86000000000013,31.3,35.9,67.6,1.0,14,Wichita St,109.39148825572,98.043512519639,0.77893994141783,47.6,47.1,38.2,29.7,15.9,18.1,29.8,33.4,44.7,47.6,34.5,30.8,241.38999999999987,41.1,38.2,68.4,1.0,19
0.49,Wichita St,109.39148825572,98.043512519639,0.77893994141783,47.6,47.1,38.2,29.7,15.9,18.1,29.8,33.4,44.7,47.6,34.5,30.8,241.38999999999987,41.1,38.2,68.4,1.0,19,Drake,112.16063932582,100.21058699035,0.78508851774654,54.5,48.4,25.2,29.7,15.2,18.8,31.6,24.9,54.4,49.7,36.6,30.8,39.86000000000013,31.3,35.9,67.6,1.0,14
0.51,Norfolk St,98.994560806487,103.86365377122,0.36536289185299,49.7,47.4,38.6,42.0,17.8,20.7,28.8,28.7,46.1,47.2,37.4,31.7,-93.35000000000014,35.9,45.3,68.7,0.0,50,Appalachian St,98.410968730089,104.26516057042,0.33972328909461,47.7,50.4,33.0,24.0,17.5,20.0,27.8,30.6,46.7,50.4,32.6,33.5,164.84000000000015,43.9,37.8,66.3,0.0,52
0.49,Appalachian St,98.410968730089,104.26516057042,0.33972328909461,47.7,50.4,33.0,24.0,17.5,20.0,27.8,30.6,46.7,50.4,32.6,33.5,164.84000000000015,43.9,37.8,66.3,0.0,52,Norfolk St,98.994560806487,103.86365377122,0.36536289185299,49.7,47.4,38.6,42.0,17.8,20.7,28.8,28.7,46.1,47.2,37.4,31.7,-93.35000000000014,35.9,45.3,68.7,0.0,50
1.0,TX Southern,97.923519616447,103.17495365152,0.35417150864144,48.3,46.5,38.9,33.8,21.5,19.4,32.9,26.4,51.0,45.2,27.7,32.4,-457.89999999999986,27.8,37.9,72.5,0.0,56,Mt St Mary's,95.176165544359,99.874874605814,0.36489773414961,48.7,45.5,29.7,24.6,20.3,16.4,31.9,24.8,47.7,45.6,33.7,30.1,236.02999999999997,36.3,32.8,63.0,0.0,54
0.0,Mt St Mary's,95.176165544359,99.874874605814,0.36489773414961,48.7,45.5,29.7,24.6,20.3,16.4,31.9,24.8,47.7,45.6,33.7,30.1,236.02999999999997,36.3,32.8,63.0,0.0,54,TX Southern,97.923519616447,103.17495365152,0.35417150864144,48.3,46.5,38.9,33.8,21.5,19.4,32.9,26.4,51.0,45.2,27.7,32.4,-457.89999999999986,27.8,37.9,72.5,0.0,56
1.0,UCLA,114.24304449545,96.169271088545,0.8787355277956,52.0,50.7,32.6,28.0,16.7,17.6,30.8,24.2,50.6,49.4,36.7,35.1,-205.51,31.7,39.0,65.5,2.0,11,Michigan St,105.42548948616,94.105970388002,0.78687724333636,47.9,47.8,31.4,37.1,18.9,15.4,30.4,26.1,47.8,48.1,32.0,31.5,20.200000000000045,34.1,34.0,69.6,4.0,14
0.0,Michigan St,105.42548948616,94.105970388002,0.78687724333636,47.9,47.8,31.4,37.1,18.9,15.4,30.4,26.1,47.8,48.1,32.0,31.5,20.200000000000045,34.1,34.0,69.6,4.0,14,UCLA,114.24304449545,96.169271088545,0.8787355277956,52.0,50.7,32.6,28.0,16.7,17.6,30.8,24.2,50.6,49.4,36.7,35.1,-205.51,31.7,39.0,65.5,2.0,11
1.0,Arkansas,110.04788052488,91.278241769085,0.89571882629261,51.5,47.6,32.7,29.3,17.4,20.3,31.7,26.2,51.9,46.9,33.9,32.6,-12.1400000000001,35.8,37.6,74.0,1.0,5,Colgate,112.44659723437,98.022589678636,0.82902391000817,57.0,45.6,31.0,25.0,13.7,16.6,28.2,25.4,55.4,49.4,40.0,26.1,470.29999999999995,35.9,37.0,72.8,0.0,21
0.0,Colgate,112.44659723437,98.022589678636,0.82902391000817,57.0,45.6,31.0,25.0,13.7,16.6,28.2,25.4,55.4,49.4,40.0,26.1,470.29999999999995,35.9,37.0,72.8,0.0,21,Arkansas,110.04788052488,91.278241769085,0.89571882629261,51.5,47.6,32.7,29.3,17.4,20.3,31.7,26.2,51.9,46.9,33.9,32.6,-12.1400000000001,35.8,37.6,74.0,1.0,5
