0_ProbWin,0_TeamName,0_ADJOE,0_ADJDE,0_BARTHAG,0_EFG%,0_EFGD%,0_FTR,0_FTRD,0_TOR,0_TORD,0_ORB,0_DRB,0_2P%,0_2P%D,0_3P%,0_3P%D,0_3P%ODDIFF,0_3PR,0_3PRD,0_ADJ T.,0_Top30Wins,0_PomOrdinalRank,1_TeamName,1_ADJOE,1_ADJDE,1_BARTHAG,1_EFG%,1_EFGD%,1_FTR,1_FTRD,1_TOR,1_TORD,1_ORB,1_DRB,1_2P%,1_2P%D,1_3P%,1_3P%D,1_3P%ODDIFF,1_3PR,1_3PRD,1_ADJ T.,1_Top30Wins,1_PomOrdinalRank
1.0,Baylor,113.04993777452,70.394045538547,0.99571265537685,51.2,36.2,29.8,28.3,22.2,23.8,45.9,23.4,51.7,34.3,32.5,26.8,-347.75,16.1,32.5,73.2,9.0,0,Jackson St,92.583301324531,87.301070622522,0.66275143667222,46.5,39.6,39.8,30.6,25.6,22.2,41.2,30.0,44.3,35.4,36.2,34.3,-112.54999999999984,22.0,26.5,70.8,0.0,0
0.0,Jackson St,92.583301324531,87.301070622522,0.66275143667222,46.5,39.6,39.8,30.6,25.6,22.2,41.2,30.0,44.3,35.4,36.2,34.3,-112.54999999999984,22.0,26.5,70.8,0.0,0,Baylor,113.04993777452,70.394045538547,0.99571265537685,51.2,36.2,29.8,28.3,22.2,23.8,45.9,23.4,51.7,34.3,32.5,26.8,-347.75,16.1,32.5,73.2,9.0,0
1.0,Connecticut,116.05128871156,69.487961162776,0.99726287222883,56.7,37.9,23.6,15.2,20.1,25.7,37.1,24.6,58.7,37.0,34.8,26.4,112.55999999999995,31.0,36.6,71.0,3.0,0,High Point,94.94477847348,96.715267116564,0.44708092835227,51.8,39.9,30.1,28.3,19.5,18.9,20.4,28.5,49.0,40.2,36.4,26.0,1109.6799999999998,49.7,26.9,71.0,0.0,0
0.0,High Point,94.94477847348,96.715267116564,0.44708092835227,51.8,39.9,30.1,28.3,19.5,18.9,20.4,28.5,49.0,40.2,36.4,26.0,1109.6799999999998,49.7,26.9,71.0,0.0,0,Connecticut,116.05128871156,69.487961162776,0.99726287222883,56.7,37.9,23.6,15.2,20.1,25.7,37.1,24.6,58.7,37.0,34.8,26.4,112.55999999999995,31.0,36.6,71.0,3.0,0
0.51,Georgia Tech,107.30246037567,82.443642451019,0.95394068065557,47.0,44.8,24.3,23.3,18.7,19.6,31.7,28.1,46.8,43.0,31.8,33.3,123.63000000000011,30.8,25.7,66.1,1.0,0,SF Austin,103.0128802127,82.812765413932,0.92484863546255,55.8,37.7,30.7,36.6,22.5,32.9,37.7,33.3,57.0,36.8,35.8,26.6,606.5999999999999,37.6,27.8,72.3,0.0,0
0.49,SF Austin,103.0128802127,82.812765413932,0.92484863546255,55.8,37.7,30.7,36.6,22.5,32.9,37.7,33.3,57.0,36.8,35.8,26.6,606.5999999999999,37.6,27.8,72.3,0.0,0,Georgia Tech,107.30246037567,82.443642451019,0.95394068065557,47.0,44.8,24.3,23.3,18.7,19.6,31.7,28.1,46.8,43.0,31.8,33.3,123.63000000000011,30.8,25.7,66.1,1.0,0
1.0,Iowa,124.77192288139,95.385868620794,0.95641194832117,59.3,50.8,27.8,26.5,19.4,17.5,28.9,32.9,58.4,50.3,40.4,34.5,326.6099999999999,38.4,35.5,73.6,4.0,0,C Michigan,108.23321780495,99.484014027464,0.72499003577799,54.0,49.6,23.1,27.5,19.2,18.8,29.0,28.6,54.6,49.1,35.5,33.6,382.1299999999999,45.5,36.7,69.5,0.0,0
0.0,C Michigan,108.23321780495,99.484014027464,0.72499003577799,54.0,49.6,23.1,27.5,19.2,18.8,29.0,28.6,54.6,49.1,35.5,33.6,382.1299999999999,45.5,36.7,69.5,0.0,0,Iowa,124.77192288139,95.385868620794,0.95641194832117,59.3,50.8,27.8,26.5,19.4,17.5,28.9,32.9,58.4,50.3,40.4,34.5,326.6099999999999,38.4,35.5,73.6,4.0,0
1.0,Kentucky,111.33973014042,85.440954632017,0.95455519797147,49.0,45.2,23.8,30.7,17.8,22.5,33.2,34.8,47.5,45.3,34.7,29.9,353.8200000000003,32.6,26.0,68.9,4.0,0,Idaho St,97.416548384296,85.322994117535,0.82117804223103,50.5,39.8,22.8,29.7,20.8,21.7,31.6,27.6,50.5,40.4,33.7,25.9,63.59000000000003,30.4,37.1,69.8,0.0,0
0.0,Idaho St,97.416548384296,85.322994117535,0.82117804223103,50.5,39.8,22.8,29.7,20.8,21.7,31.6,27.6,50.5,40.4,33.7,25.9,63.59000000000003,30.4,37.1,69.8,0.0,0,Kentucky,111.33973014042,85.440954632017,0.95455519797147,49.0,45.2,23.8,30.7,17.8,22.5,33.2,34.8,47.5,45.3,34.7,29.9,353.8200000000003,32.6,26.0,68.9,4.0,0
