0_ProbWin,TeamID_0,TeamID_1,0_TeamName,0_ADJOE,0_ADJDE,0_BARTHAG,0_EFG%,0_EFGD%,0_FTR,0_FTRD,0_TOR,0_TORD,0_ORB,0_DRB,0_2P%,0_2P%D,0_3P%,0_3P%D,0_3P%ODDIFF,0_3PR,0_3PRD,0_ADJ T.,0_Top30Wins,0_PomOrdinalRank,1_TeamName,1_ADJOE,1_ADJDE,1_BARTHAG,1_EFG%,1_EFGD%,1_FTR,1_FTRD,1_TOR,1_TORD,1_ORB,1_DRB,1_2P%,1_2P%D,1_3P%,1_3P%D,1_3P%ODDIFF,1_3PR,1_3PRD,1_ADJ T.,1_Top30Wins,1_PomOrdinalRank
1.0,3342.0,3357.0,Presbyterian,80.768258513207,97.36880079214,0.10436855201861,45.2,45.0,24.2,22.0,26.0,21.9,27.2,27.9,45.0,45.0,30.4,30.1,25.159999999999854,33.7,33.2,66.7,0.0,0,Sacred Heart,89.417850910558,96.698251599836,0.28901714070883,45.3,44.3,29.9,26.4,19.1,27.1,32.9,32.0,46.3,44.4,28.7,29.2,39.479999999999905,32.0,30.1,68.9,0.0,0
0.0,3357.0,3342.0,Sacred Heart,89.417850910558,96.698251599836,0.28901714070883,45.3,44.3,29.9,26.4,19.1,27.1,32.9,32.0,46.3,44.4,28.7,29.2,39.479999999999905,32.0,30.1,68.9,0.0,0,Presbyterian,80.768258513207,97.36880079214,0.10436855201861,45.2,45.0,24.2,22.0,26.0,21.9,27.2,27.9,45.0,45.0,30.4,30.1,25.159999999999854,33.7,33.2,66.7,0.0,0
1.0,3435.0,3162.0,Vanderbilt,102.65624638082,83.067354255753,0.91945340240547,46.2,45.3,26.8,25.0,20.8,25.3,35.3,31.0,45.1,46.3,32.4,29.0,36.799999999999955,33.0,35.6,69.3,1.0,0,Columbia,110.81250900187,91.449414701913,0.90102069516026,51.8,44.5,26.7,25.6,21.4,21.5,40.4,29.2,53.5,43.3,32.8,31.6,369.7199999999998,39.5,29.3,70.3,0.0,0
0.0,3162.0,3435.0,Columbia,110.81250900187,91.449414701913,0.90102069516026,51.8,44.5,26.7,25.6,21.4,21.5,40.4,29.2,53.5,43.3,32.8,31.6,369.7199999999998,39.5,29.3,70.3,0.0,0,Vanderbilt,102.65624638082,83.067354255753,0.91945340240547,46.2,45.3,26.8,25.0,20.8,25.3,35.3,31.0,45.1,46.3,32.4,29.0,36.799999999999955,33.0,35.6,69.3,1.0,0
1.0,3112.0,3120.0,Arizona,105.84674348738,81.677903494891,0.95170377123883,47.6,48.0,28.2,31.4,20.5,27.4,30.7,34.7,47.7,48.1,31.4,31.9,-397.39,22.8,34.9,70.5,2.0,0,Auburn,96.829864494592,76.182572691537,0.94036140952323,43.6,41.3,31.0,35.4,21.2,28.5,32.3,30.5,43.7,41.1,29.0,27.9,-96.10000000000002,21.7,26.0,71.5,1.0,0
0.0,3120.0,3112.0,Auburn,96.829864494592,76.182572691537,0.94036140952323,43.6,41.3,31.0,35.4,21.2,28.5,32.3,30.5,43.7,41.1,29.0,27.9,-96.10000000000002,21.7,26.0,71.5,1.0,0,Arizona,105.84674348738,81.677903494891,0.95170377123883,47.6,48.0,28.2,31.4,20.5,27.4,30.7,34.7,47.7,48.1,31.4,31.9,-397.39,22.8,34.9,70.5,2.0,0
1.0,3221.0,3404.0,Holy Cross,90.472586697966,92.613739542098,0.43315456939669,44.6,40.8,23.3,27.2,19.5,18.5,32.4,25.6,42.6,41.0,32.8,26.8,147.2399999999999,29.9,31.1,66.4,0.0,0,TN Martin,92.062728481668,97.940656806303,0.32921157856185,49.9,46.5,30.9,22.4,25.3,21.5,27.0,31.9,47.4,45.5,36.9,32.1,-44.940000000000055,32.1,38.3,66.0,0.0,0
0.0,3404.0,3221.0,TN Martin,92.062728481668,97.940656806303,0.32921157856185,49.9,46.5,30.9,22.4,25.3,21.5,27.0,31.9,47.4,45.5,36.9,32.1,-44.940000000000055,32.1,38.3,66.0,0.0,0,Holy Cross,90.472586697966,92.613739542098,0.43315456939669,44.6,40.8,23.3,27.2,19.5,18.5,32.4,25.6,42.6,41.0,32.8,26.8,147.2399999999999,29.9,31.1,66.4,0.0,0
1.0,3104.0,3199.0,Alabama,107.85515547617,83.969264896875,0.94679301754762,49.6,43.1,31.7,26.6,21.1,24.5,35.8,32.5,48.2,42.9,34.9,29.1,422.40999999999997,35.2,27.7,69.7,2.0,0,Florida St,108.19810652397,84.464079451305,0.94520647958033,46.6,43.7,27.3,18.9,15.0,18.9,27.5,32.2,46.4,42.9,31.3,30.4,130.20000000000016,33.2,29.9,75.6,2.0,0
0.0,3199.0,3104.0,Florida St,108.19810652397,84.464079451305,0.94520647958033,46.6,43.7,27.3,18.9,15.0,18.9,27.5,32.2,46.4,42.9,31.3,30.4,130.20000000000016,33.2,29.9,75.6,2.0,0,Alabama,107.85515547617,83.969264896875,0.94679301754762,49.6,43.1,31.7,26.6,21.1,24.5,35.8,32.5,48.2,42.9,34.9,29.1,422.40999999999997,35.2,27.7,69.7,2.0,0
1.0,3124.0,3435.0,Baylor,107.41167929026,75.610298699375,0.98266224294146,50.6,43.4,24.4,25.1,21.8,25.6,35.4,24.6,50.9,45.2,33.3,26.1,422.46000000000004,36.2,30.0,73.2,4.0,0,Vanderbilt,102.65624638082,83.067354255753,0.91945340240547,46.2,45.3,26.8,25.0,20.8,25.3,35.3,31.0,45.1,46.3,32.4,29.0,36.799999999999955,33.0,35.6,69.3,1.0,0
0.0,3435.0,3124.0,Vanderbilt,102.65624638082,83.067354255753,0.91945340240547,46.2,45.3,26.8,25.0,20.8,25.3,35.3,31.0,45.1,46.3,32.4,29.0,36.799999999999955,33.0,35.6,69.3,1.0,0,Baylor,107.41167929026,75.610298699375,0.98266224294146,50.6,43.4,24.4,25.1,21.8,25.6,35.4,24.6,50.9,45.2,33.3,26.1,422.46000000000004,36.2,30.0,73.2,4.0,0
1.0,3160.0,3179.0,Colorado,113.85459283552,81.043506283578,0.98033905082006,51.5,45.7,26.1,28.7,19.3,23.4,32.1,25.1,50.5,43.2,35.8,34.0,-9.519999999999982,30.6,32.5,71.3,5.0,0,Drake,105.80649315347,88.290172197746,0.88907285157492,55.5,46.9,30.0,18.8,23.3,19.9,32.3,24.3,59.4,44.9,33.3,33.9,206.03999999999996,40.8,34.0,74.3,0.0,0
0.0,3179.0,3160.0,Drake,105.80649315347,88.290172197746,0.88907285157492,55.5,46.9,30.0,18.8,23.3,19.9,32.3,24.3,59.4,44.9,33.3,33.9,206.03999999999996,40.8,34.0,74.3,0.0,0,Colorado,113.85459283552,81.043506283578,0.98033905082006,51.5,45.7,26.1,28.7,19.3,23.4,32.1,25.1,50.5,43.2,35.8,34.0,-9.519999999999982,30.6,32.5,71.3,5.0,0
1.0,3181.0,3350.0,Duke,104.58096430141,76.581358905521,0.97297222181834,49.4,40.8,23.7,31.1,24.6,24.9,36.5,30.4,50.1,38.3,31.8,31.7,91.82000000000005,30.6,27.8,68.3,2.0,0,Richmond,109.00168374002,89.298898129168,0.90827923622836,55.7,42.2,28.8,21.2,20.8,21.0,24.9,31.5,54.9,40.4,37.7,30.1,541.3600000000001,44.3,37.5,69.0,0.0,0
