TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,Unnamed: 15,2P%,2P%D,3P%,3P%D,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,3PR,3PRD,ADJ T.,Unnamed: 30,WAB,Unnamed: 35,Unnamed: 36,WinPercentage,Top30Wins,TeamID,Tournament Wins,PointDIFF,3P%ODDIFF
Duke,119.30935689207,88.336310034505,0.96942552097682,29–5,29,34,53.4,44.6,34.6,24.0,17.7,19.8,36.1,29.7,73.7,58.3,44.9,30.2,29.3,16.4,8.0,52.2,48.7,37.6,34.7,74.0,2019,11.213974202264,69.0,69.1,85.29411764705883,10.0,1181,3,542,118.80999999999983
Michigan St,119.99790936116,91.950172634082,0.95528138825219,28–6,28,34,55.8,43.7,35.0,27.7,18.7,14.9,34.1,26.8,68.4,54.8,41.3,38.4,31.8,14.1,8.3,68.2,53.1,37.8,37.0,69.2,2019,10.639805240705,75.0,67.9,82.3529411764706,9.0,1277,4,452,274.9199999999996
LSU,118.25329576476,97.062644855905,0.90644081481713,26–6,26,32,51.7,50.2,37.7,34.2,18.2,20.7,37.3,30.4,70.6,53.4,49.7,32.3,34.1,12.0,7.2,46.1,43.6,34.3,39.1,71.2,2019,7.3402892987139,75.4,68.8,81.25,6.0,1261,2,267,-225.4200000000003
Virginia Tech,118.02853540395,94.262099664213,0.92993837302499,24–8,24,32,56.4,48.9,31.4,26.4,17.5,21.7,29.8,27.4,64.4,54.2,48.0,39.4,33.2,8.7,9.7,59.6,56.4,45.0,50.1,65.0,2019,5.0068171006318,75.8,72.2,75.0,2.0,1439,2,381,109.67999999999984
Mississippi St,116.40429323291,96.634424352506,0.89478196720524,23–10,23,33,54.6,50.1,32.3,31.7,19.3,19.7,34.9,29.8,68.5,53.3,48.5,37.8,35.3,13.6,10.3,51.4,50.1,39.0,36.2,68.7,2019,4.5517281366,71.5,71.2,69.6969696969697,2.0,1280,0,238,196.33999999999992
Maryland,112.45764889401,93.827226235216,0.88922987573354,22–10,22,32,51.9,46.0,32.9,26.6,19.8,14.3,33.9,24.7,66.3,51.3,44.7,35.3,32.0,13.4,9.8,52.4,52.2,37.0,39.4,67.6,2019,4.175626134239,74.8,71.9,68.75,1.0,1268,1,201,45.299999999999955
Louisville,112.9194044166,92.720709152945,0.90605993962324,20–13,20,33,50.9,46.4,35.1,31.6,17.8,16.3,29.2,25.8,68.6,50.6,45.7,34.2,31.7,7.8,10.6,53.4,48.4,43.7,36.9,68.7,2019,2.3126631162199,77.5,69.7,60.60606060606061,3.0,1257,0,222,324.8100000000002
VCU,103.96504147335,86.932970739538,0.88670821617829,25–7,25,32,50.6,43.0,36.0,37.2,20.1,23.5,31.0,30.6,69.0,53.7,43.8,30.7,27.6,12.3,7.6,55.4,51.0,41.1,33.4,69.7,2019,1.3626744343383,69.8,68.9,78.125,1.0,1433,0,315,339.92999999999995
UCF,111.13176838119,93.893033773913,0.87418117210306,23–8,23,31,52.7,45.5,46.4,29.6,17.5,18.3,29.6,29.5,67.1,52.5,44.6,35.4,31.3,12.4,8.1,53.7,54.3,36.1,38.3,66.4,2019,2.1693064562545,64.5,64.6,74.19354838709677,1.0,1416,1,243,79.15000000000009
Minnesota,109.5196023917,96.565377776431,0.80963769596794,21–13,21,34,48.3,49.1,42.0,28.3,17.6,16.6,31.9,28.1,68.0,48.4,48.3,32.1,33.9,10.3,11.2,60.2,50.2,28.8,33.7,68.9,2019,2.683872488783,67.9,68.6,61.76470588235294,3.0,1278,1,55,-217.95000000000005
