TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,Unnamed: 15,2P%,2P%D,3P%,3P%D,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,3PR,3PRD,ADJ T.,Unnamed: 30,WAB,Unnamed: 35,Unnamed: 36,WinPercentage,Top30Wins,TeamID,Tournament Wins,PointDIFF,PomOrdinalRank,3P%ODDIFF
Virginia,113.2158477936,88.372687291337,0.94526343961944,28–6,28,34,50.6,43.9,42.4,32.3,16.8,18.8,34.8,26.4,60.5,48.9,41.8,36.5,31.9,11.9,9.6,56.8,50.1,29.6,33.9,61.3,2014,8.2329904687715,66.3,66.9,82.3529411764706,4.0,1438,2,362,1,-1.0099999999997635
Villanova,116.05989320452,92.785969755324,0.929157936469,28–4,28,32,54.0,46.6,45.0,38.7,17.2,20.2,33.1,28.9,67.5,53.9,43.4,36.1,35.4,10.8,7.5,60.7,54.0,44.6,32.7,67.4,2014,8.3633045695836,71.3,70.4,87.5,3.0,1437,1,382,2,452.48
Iowa St,116.59724585716,96.81974246761,0.89450051232238,26–7,26,33,53.8,47.1,37.2,31.1,14.4,16.2,28.1,28.3,72.0,54.6,45.4,35.1,33.6,7.0,8.8,63.4,51.4,38.1,33.8,71.9,2014,7.4950538941209,69.4,72.7,78.78787878787878,6.0,1235,2,296,6,201.6300000000001
Michigan St,118.396893669,94.846588491239,0.92760644085554,26–8,26,34,54.5,46.2,33.5,39.1,17.1,18.3,33.5,27.7,66.1,52.1,44.0,39.1,33.2,14.1,7.9,62.4,50.4,35.8,37.0,66.3,2014,6.949917477285,69.3,71.8,76.47058823529412,8.0,1277,3,361,3,171.37999999999988
Cincinnati,108.59793351776,91.063430594276,0.88340783282533,27–6,27,33,47.9,44.6,39.1,35.3,17.4,22.5,39.1,32.3,63.7,46.9,43.0,33.5,31.9,15.8,9.3,53.6,54.4,31.2,32.4,63.5,2014,5.3590616845369,70.9,67.8,81.81818181818181,4.0,1153,0,343,6,11.6400000000001
North Carolina,111.74077646885,93.872119485147,0.88120124287556,23–9,23,32,49.8,46.5,44.6,41.8,17.1,19.4,37.8,31.3,70.0,49.6,46.2,33.6,31.3,12.7,8.4,56.1,45.9,20.8,34.0,70.9,2014,4.271551475352,62.5,66.5,71.875,5.0,1314,1,232,7,-365.31999999999994
Connecticut,111.64675428531,92.752233395806,0.89399306056662,26–8,26,34,51.4,43.9,38.6,35.5,17.6,19.5,31.2,33.4,65.9,48.0,41.4,38.7,32.9,16.0,9.1,51.6,52.4,33.8,31.6,65.1,2014,4.7997776035611,76.1,66.5,76.47058823529412,3.0,1163,6,297,7,268.41999999999985
Memphis,112.3514279543,96.257596773608,0.85544278419269,22–9,22,31,52.0,48.1,39.9,33.7,18.8,20.6,36.1,33.2,70.6,52.7,48.8,33.5,31.0,11.4,9.4,60.6,51.2,27.2,29.4,69.7,2014,2.8429110508634,65.3,65.0,70.96774193548387,4.0,1272,1,207,10,-0.20000000000004547
G Washington,110.07155467802,96.21932327363,0.82444458118579,24–8,24,32,51.6,47.0,46.7,33.5,19.0,19.6,34.8,31.0,68.2,50.2,47.0,36.9,31.4,11.3,9.0,55.7,51.6,28.6,36.0,67.4,2014,3.2465699021328,65.4,66.6,75.0,1.0,1203,0,209,11,-75.05999999999995
St Joseph's PA,112.9113961498,97.788317718372,0.83938783354091,24–9,24,33,53.9,47.6,43.4,30.6,18.7,15.4,29.5,27.6,66.1,52.0,46.1,38.0,33.7,12.2,7.2,57.1,56.1,36.8,34.3,65.9,2014,2.224222175494,64.1,68.6,72.72727272727273,1.0,1386,0,143,13,242.48999999999978
Providence,113.18369365297,99.503371704993,0.81478947676889,22–12,22,34,48.1,48.9,41.9,34.3,17.3,16.4,35.4,30.0,65.0,46.0,48.7,35.0,32.9,11.9,8.2,56.5,47.7,31.7,28.7,65.0,2014,1.2753095098203,78.1,68.9,64.70588235294117,2.0,1344,0,125,12,165.2700000000001
Harvard,111.35898761778,95.111930684725,0.85979687811763,25–4,25,29,52.3,46.1,47.7,36.5,17.6,21.4,32.6,28.9,64.6,49.9,44.8,38.9,32.6,13.8,9.7,58.7,51.1,28.2,30.7,65.5,2014,2.3739728729446,72.6,70.6,86.20689655172414,0.0,1217,1,352,9,96.15999999999997
Delaware,110.85851156044,105.9214525451,0.62806031174169,25–9,25,34,50.6,49.1,43.2,37.8,13.5,16.7,29.5,32.7,70.8,49.9,49.5,34.5,32.1,8.7,9.7,40.4,43.9,34.4,31.6,72.4,2014,-1.2159683756262,70.9,68.6,73.52941176470588,0.0,1174,0,149,26,172.43999999999983
NC Central,106.24264886675,99.341972025161,0.68402054574265,26–5,26,31,50.2,43.4,50.8,45.3,17.4,24.0,35.4,32.8,64.3,50.8,42.2,32.6,30.3,12.0,11.6,59.0,50.0,29.4,36.1,64.3,2014,-0.5008543978781,72.6,69.1,83.87096774193549,0.0,1300,0,402,19,-135.3900000000002
WI Milwaukee,104.50373241284,104.47967643446,0.50066187931513,20–13,20,33,49.6,49.2,45.5,36.9,20.0,18.5,28.6,31.1,67.6,49.8,50.0,33.0,31.6,6.4,11.5,58.1,47.6,40.7,32.4,67.8,2014,-5.9498153725052,73.3,74.6,60.60606060606061,0.0,1454,0,-17,42,319.2600000000001
Coastal Car,97.269036204241,102.46315329527,0.35474204544284,18–12,18,30,47.9,47.2,38.9,39.1,20.4,18.5,34.8,29.9,68.5,47.9,46.5,32.0,32.1,8.6,10.8,40.3,51.3,31.1,42.4,67.6,2014,-7.5475247330138,69.3,69.5,60.0,0.0,1157,0,45,56,-365.8399999999999
Florida,115.88364467164,88.760073257108,0.9554883476413,32–2,32,34,52.7,45.1,43.4,32.6,17.8,21.9,35.6,28.8,63.2,51.3,42.9,36.8,33.3,8.1,8.9,54.8,46.9,35.3,31.5,63.4,2014,11.769480311766,66.1,68.9,94.11764705882354,7.0,1196,4,435,1,250.08999999999992
Kansas,120.21948097731,95.502905709899,0.93381766904825,24–9,24,33,54.5,47.1,48.9,45.8,19.0,16.3,37.1,29.1,68.8,55.7,44.1,34.5,35.9,14.6,8.2,55.2,51.6,29.2,31.1,68.3,2014,6.9211100409309,71.1,67.5,72.72727272727273,6.0,1242,1,302,2,-109.09000000000003
Syracuse,115.34428049707,93.515413312862,0.91778640246107,27–5,27,32,48.2,48.3,38.8,36.5,14.6,21.9,38.1,31.7,60.4,47.5,45.8,33.5,34.6,17.0,7.7,49.6,63.8,27.1,40.8,61.5,2014,7.8963129099463,70.3,66.9,84.375,5.0,1393,1,277,4,-503.83000000000004
UCLA,118.47000772059,96.93895398964,0.90942641507251,26–8,26,34,54.4,50.1,39.0,36.4,14.9,20.5,30.2,28.3,70.4,52.8,48.8,39.1,34.6,8.8,6.2,59.2,55.8,27.5,41.8,70.4,2014,4.5743226369902,74.9,67.1,76.47058823529412,2.0,1417,2,376,5,-371.03
VCU,107.78986682335,89.752953891146,0.8914763921396,26–8,26,34,47.8,47.5,35.7,39.5,17.2,25.6,35.1,30.7,70.6,45.5,48.5,34.9,30.1,11.4,10.2,50.0,48.1,33.9,30.0,71.0,2014,3.6996905114332,67.4,66.6,76.47058823529412,1.0,1433,0,344,3,280.1099999999999
