TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,Unnamed: 15,2P%,2P%D,3P%,3P%D,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,3PR,3PRD,ADJ T.,Unnamed: 30,WAB,Unnamed: 35,Unnamed: 36,WinPercentage,Top30Wins,TeamID,Tournament Wins,PointDIFF,PomOrdinalRank,3P%ODDIFF
South Carolina,123.68972644212,71.408421139237,0.99819906151919,30–3,30,33,50.9,39.3,26.2,20.1,16.8,23.4,39.2,31.1,71.6,51.5,37.4,32.8,29.3,12.9,6.5,54.3,52.4,26.5,28.6,70.5,2025,16.640346566131,76.5,70.9,90.9090909090909,16.0,3376,0,750,0,31.219999999999914
Duke,111.87104875597,73.24834182132,0.99238619536805,26–7,26,33,49.6,43.4,24.8,27.4,21.0,28.8,40.6,29.6,70.6,49.0,42.7,34.1,30.1,10.6,6.7,59.4,49.9,27.6,27.2,69.5,2025,10.231858310979,68.8,71.7,78.78787878787878,7.0,3181,0,519,0,122.44000000000005
North Carolina,107.56960505169,75.099304028959,0.984206831669,27–7,27,34,48.6,41.7,24.5,23.7,18.4,23.9,31.3,27.6,70.1,47.4,39.6,33.8,30.6,10.3,8.8,53.8,50.8,35.7,33.1,69.0,2025,8.3477248989234,66.9,72.3,79.41176470588235,7.0,3314,0,434,0,193.79999999999995
Maryland,118.00509223783,85.134981701139,0.97712639197887,23–7,23,30,51.6,46.7,36.6,27.4,22.1,21.6,39.0,29.1,73.6,51.0,45.7,35.4,32.4,9.0,7.5,51.7,56.2,28.2,33.8,72.8,2025,7.6637749973337,75.9,69.6,76.66666666666667,6.0,3268,0,319,0,-96.83999999999992
Alabama,113.82179831517,79.641791391079,0.9838029010095,23–8,23,31,53.4,41.8,27.9,27.3,19.9,23.1,32.6,31.0,72.3,50.7,41.6,38.6,28.2,10.7,6.9,53.7,52.8,36.5,29.0,70.3,2025,5.2027190693464,68.6,72.0,74.19354838709677,4.0,3104,0,485,0,591.1000000000001
West Virginia,110.5524480744,74.386532801154,0.98961007148726,24–7,24,31,50.8,44.8,30.4,28.3,21.6,33.1,36.3,29.6,71.6,51.5,44.5,33.1,30.2,6.5,8.0,49.6,55.1,35.8,35.3,71.3,2025,4.6912319972248,75.6,69.5,77.41935483870968,2.0,3452,0,632,0,118.92000000000007
Vanderbilt,117.46800640619,84.842687334066,0.97683607788876,22–10,22,32,50.3,48.5,28.2,23.7,18.4,27.8,37.6,35.5,74.5,50.1,50.3,33.9,29.9,6.4,7.0,54.0,53.4,30.7,32.1,73.3,2025,4.2748793000513,78.4,69.1,68.75,3.0,3435,0,473,0,80.94000000000005
Utah,111.73478839321,82.52460324721,0.97025401584384,22–8,22,30,55.0,46.5,27.1,23.1,22.6,24.0,31.2,24.7,71.1,54.4,44.8,37.1,33.4,7.7,9.1,67.8,55.3,45.7,32.8,70.4,2025,3.8576919710502,75.5,74.2,73.33333333333333,2.0,3428,0,408,0,599.9500000000005
Indiana,108.97342082416,81.026652955661,0.96794578407866,19–12,19,31,52.3,45.9,28.8,26.5,20.6,20.1,22.6,25.2,69.5,50.5,45.2,36.7,31.8,9.0,8.7,66.4,54.4,38.8,29.4,68.9,2025,3.0106131922046,78.9,70.0,61.29032258064516,3.0,3231,0,193,0,489.0400000000001
Oregon,104.33380016639,79.098724537702,0.96024047080186,19–11,19,30,46.8,46.1,26.0,24.8,19.0,25.3,30.5,30.7,69.7,47.4,44.0,30.1,33.7,6.5,6.6,55.8,55.4,27.7,32.7,69.2,2025,3.3956852350453,69.7,76.0,63.333333333333336,3.0,3332,0,160,0,-268.22000000000025
Columbia,108.85447172425,87.586644012699,0.92413540510123,23–6,23,29,49.8,46.6,25.9,22.0,20.2,26.9,43.3,29.0,67.6,51.6,47.0,31.4,30.6,5.7,7.7,61.4,60.2,38.9,34.7,69.4,2025,0.51307858050137,62.0,69.6,79.3103448275862,0.0,3162,0,432,0,159.63999999999965
Washington,112.69120497536,87.25592999672,0.9498729437724,19–13,19,32,54.4,45.9,16.6,22.9,22.0,20.8,33.3,31.6,68.5,53.6,45.3,37.3,31.4,10.0,6.6,50.8,50.1,35.6,27.9,67.4,2025,1.0777102985006,79.0,75.1,59.375,1.0,3449,0,258,0,451.81999999999994
WI Green Bay,99.874102442198,88.752717648346,0.79537720785054,27–5,27,32,49.8,45.3,24.5,22.0,17.7,23.5,29.5,26.4,65.1,47.8,44.1,36.0,31.5,5.7,6.6,69.7,58.3,32.8,38.8,64.8,2025,-1.039824177074,79.0,69.5,84.375,0.0,3453,0,363,0,-41.399999999999864
