TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
"UC Santa Barbara",106.66564969172,98.200342815496,0.72130194207023,17–13,17,30,50.5,46.9,27.5,42.2,18.2,17.8,29.2,28.1,68.3,48.2,48.1,36.5,30.1,9.1,7.5,57.7,55.6,35.2,41.1,67.5,,,,2016,,,,-4.6522002426478,71.3,68.8
"Arkansas Pine Bluff",87.533587225344,109.1597270715,0.073163490538352,8–25,8,33,45,49.2,30.1,53.7,23.8,20.2,27.7,37.4,65.3,44.7,49.6,30.3,32.3,10.8,9.4,47,59,38.7,32.7,65.8,,,,2016,,,,-17.625453929522,61.1,71
"Portland St.",101.65701581346,109.12070096339,0.30687375776887,11–18,11,29,51.2,53.3,33.9,32.8,17.4,19.1,28.7,30.7,72.9,52.7,51.4,31.5,38.3,8.6,5.7,57.6,50.6,26.8,31.3,72.8,,,,2016,,,,-13.766854745669,65.9,69.7
Indiana,120.08845370811,98.029397662308,0.91165834195635,25–7,25,32,58.6,49.5,33.3,29.3,19.8,18.9,37.7,28.7,68.8,56.1,48.7,41.5,34.3,10,8.8,54.7,47,40.9,31.4,69.3,,,,2016,,,,3.3001918405189,72.3,66.6
Louisiana,108.34013986323,105.21431028339,0.58338349256282,15–14,15,29,48.7,50,42.7,36.7,18,16.5,37.9,26,71,50.1,47.2,30.7,37.9,8.7,9.3,46.5,44.6,34.1,29.1,71.3,,,,2016,,,,-7.3779401202392,69.5,70.4
"Central Michigan",110.80963241471,108.58649526127,0.55800431552454,14–15,14,29,51.6,50.9,30.6,35.6,13.6,15.9,26.9,31.7,67.3,50.6,50.8,35.2,34,6.5,8.3,50.9,48.6,46,34.5,67.4,,,,2016,,,,-9.069815347575,73.3,70.4
Brown,101.22687412478,110.40992684126,0.2692145316673,7–20,7,27,50.2,50.8,36.9,36.4,18.8,16,25.6,31.3,70.8,47.8,48.5,35.9,36.6,10.2,10,59,53.5,39,35.5,71.6,,,,2016,,,,-13.904231866709,70.7,68.6
"Wright St.",100.02982087109,97.428693256112,0.57517506692986,20–13,20,33,51.4,48.6,33,48.3,16.5,20.6,19.1,25.5,67.8,48.3,48.1,37.8,33,6,9.9,55.7,49.7,36.6,35.1,66.3,,,,2016,,,,-5.9044156964895,69.1,71.2
"UC Irvine",105.62977101255,97.146555351249,0.72367699461184,23–9,23,32,51,45,37.2,34.8,18.2,17.5,29.2,28.2,67.4,49.2,41.7,36.8,33.8,13.5,6.2,60.5,64.2,30.3,36.1,67.8,,,,2016,,,,-0.66174594636145,68.6,73
Furman,103.18999934371,105.87124388071,0.42678146874195,16–15,16,31,51.6,51,44.1,38.2,20.1,19.1,31.4,28.5,66,54.3,50.1,31.9,35,9.5,9.6,49.3,49.3,41.8,36.5,65.8,,,,2016,,,,-9.9236696628751,70.5,67.7
UAB,108.09747459464,103.08397194621,0.63323693493314,25–6,25,31,53.6,48,33.5,30.3,17.8,18.1,32.8,30.1,69,52.8,47.6,36.8,32.6,15,8.4,64.6,50.3,34.1,35.4,69,,,,2016,,,,-0.8684204583496,71,69.4
Tulane,96.670684021889,99.321729717334,0.42284062327581,13–21,13,34,45.4,48.4,31.3,36.2,19.5,18.4,32.1,29.8,67.8,45.5,46.4,30.1,35.2,9.6,9.2,46.9,48,35.4,31,68.5,,,,2016,,,,-10.933781364698,67.4,69.3
