TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
"UC Santa Barbara",93.135270877506,98.203271962948,0.35220849418241,0–1,0,1,38.8,56.6,32.8,14.7,25,17.1,23.1,31.4,75.9,43.9,60.9,17.6,31.8,6.5,14.6,52.4,54.3,29.3,32.4,70.4,,,,2024,,,,-0.30185207538053,84.2,70
"Arkansas Pine Bluff",103.59055550505,112.10521917599,0.28732636860786,0–2,0,2,41.2,64.9,30,32.6,13.8,15.1,18.9,44.1,76,23.2,64,36.5,44.2,5.8,26.8,67.5,62.8,56.9,37.7,76.8,,,,2024,,,,-0.25592288144114,69.2,73.3
Toledo,114.22533333333,102.23416666667,0.78167128005882,0–1,0,1,57.9,52.2,42.1,39.7,20.7,18.3,6.7,39.5,82.1,53.8,56.4,44.4,23.1,5.5,5.1,62.1,58.8,31.6,19.1,76.2,,,,2024,,,,-0.44018278327223,75,77.8
Indiana,109.34409139813,101.57170578112,0.70013673648704,2–8,2,10,48.3,52.9,35.6,41.5,17.7,13.4,24.1,30.3,69.6,48.2,50,32.3,38.2,8.2,6,52.9,56.5,28.8,40.5,69.9,,,,2024,,,,-0.74043995384698,68.3,78.5
"Central Michigan",100.97289090929,117.72520106655,0.14613255479328,0–2,0,2,43,64.3,18.8,28.7,14.8,12,23.5,37.9,70.7,46.2,67.6,22.9,40,9.5,5.4,25.5,62.5,27.3,42.6,72,,,,2024,,,,-0.53358364052356,62.5,83.8
"Wright St.",121.167,120.03216666667,0.52702737099303,0–1,0,1,55.2,72.7,31,16.7,19.8,11.9,18.2,16,75.9,53.5,81.1,40,41.4,10.8,4.7,27.6,88.1,25.9,43.9,77.7,,,,2024,,,,-0.3491389596295,72.2,81.8
"UC Irvine",102.05391666667,92.533583333333,0.75513522266484,0–2,0,2,44.8,44.7,32.2,44.2,19.3,15.7,26.7,24.3,70.1,44.4,41.9,30.2,33.3,10.8,11.1,55.6,47.7,37.4,34.5,68.1,,,,2024,,,,-0.59821976812337,64.9,80
Montana,93.195796348185,105.194443391,0.1989706253016,0–2,0,2,37.5,49.5,33,62.4,19.5,10.5,26.8,30.6,66.7,44.1,51.4,18.2,30.8,7.1,10.3,60.5,45.8,39.3,35.8,69.1,,,,2024,,,,-0.40082938796541,70.3,70.6
UAB,116.292,96.338666666667,0.89703417703496,0–1,0,1,54.2,54.5,26.7,49.1,19.7,14,36.4,15.6,71.2,50,58.3,40.9,31.6,5.6,18.4,50,59.3,36.7,34.5,72.6,,,,2024,,,,-0.39056426056441,68.8,63
BYU,122.69557324554,98.389590030316,0.92682219473652,3–5,3,8,51.6,49.4,24.6,37.7,16.4,13.3,32.8,27.9,67.7,53.8,47.6,33.2,35.2,6.1,9.9,59.6,48.8,54.3,33.7,68.4,,,,2024,,,,0.62300186059587,72.5,71.3
"Illinois Chicago",93.557933333333,95.112416666667,0.45276508886778,0–2,0,2,48.8,50,14,29.9,20.1,14.8,14.3,24.7,74.5,50,55.7,31.1,27.1,15.2,7.9,34.6,50.9,37.2,37.8,73,,,,2024,,,,-0.70298563596053,76.5,78.9
Xavier,110.4462298012,97.310389943499,0.81094539395008,2–12,2,14,44.3,54,29.8,30.4,16.9,14.4,31.1,29,70.8,43.9,53.8,30,36.3,7.2,13.3,54.2,61.8,30.1,36.8,72.3,,,,2024,,,,-1.6530964079801,75.8,69.5
Charlotte,100.49833333333,108.41183333333,0.29491000923215,0–1,0,1,44.2,60.4,30.8,58.3,17.5,17.5,22.9,34.6,63,53.1,46.7,20,55.6,20,6.3,42.9,62.5,38.5,37.5,64,,,,2024,,,,-0.1651398671905,62.5,78.6
Canisius,120.98583333333,107.831,0.78980412368273,0–1,0,1,62.2,63.8,20.4,20.7,22.8,12.2,13.6,21.4,65.7,68,55.9,37.5,50,2.9,4,53.8,51.6,49,41.4,67.4,,,,2024,,,,-0.31380569222683,100,66.7
"Wake Forest",118.78559817287,100.75696527959,0.8690973983993,1–4,1,5,49.3,56,34.2,43.8,15,15.9,25.3,27.8,69.3,52.4,58.7,29.1,33.7,7.6,11.1,36.4,33.8,35.3,33.3,69.5,,,,2024,,,,-0.42372687024958,76,76
"Florida Atlantic",124.66008333333,101.18566666667,0.91677286014318,1–1,1,2,55.5,53.9,30.9,32.4,17.8,16,29.6,37.8,72.7,56.2,55.7,36.2,33.3,2.1,4.5,50.7,40.6,34.6,31.7,69.3,,,,2024,,,,0.45769516154649,81,87
Northeastern,123.67100159708,120.62935467453,0.57110842198892,0–1,0,1,50.8,66.7,31.7,35.2,16.4,17.9,34.3,36,67,52.6,66.7,31.8,44.4,2.8,15.8,48.1,50,36.7,33.3,68.1,,,,2024,,,,-0.34269319209136,73.7,84.2
"Robert Morris",111.11083333333,100.23483333333,0.76578160148913,0–1,0,1,58.7,56.7,17.3,88.9,31.3,13.4,29.6,28.6,67.1,47.8,65.6,44.8,23.1,6.3,8.7,33.3,37.5,55.8,28.9,69.6,,,,2024,,,,-0.27822080307718,77.8,67.5
Villanova,109.1483803432,97.513390042982,0.78520541903093,2–9,2,11,46.1,52.3,26.8,31.6,13.4,14.2,20.5,27.1,65.1,48.4,53.4,28.9,33.8,7.4,14,46.5,57.3,45.3,43,64.9,,,,2024,,,,-1.1560837068179,82,74.8
"Utah St.",114.48846053798,107.98069809734,0.66217408868776,1–4,1,5,46.7,53,39.9,40.1,15.8,12.8,27.6,33,70.3,50.7,56.8,25.5,31,11.1,11.3,53.9,51.4,32.6,36.2,70.3,,,,2024,,,,-0.73486070696254,72.5,75.2
"Portland St.",99.289166666667,92.207333333333,0.70076916493227,0–1,0,1,35.3,52.7,26.5,32.7,10.1,18.7,28,22.6,69.6,37.5,59.1,21.4,18.2,0,25,52.4,17.9,41.2,20,72.5,,,,2024,,,,-0.34436725704046,72.2,72.2
Denver,123.125011597,116.50160260482,0.65382479353468,0–2,0,2,52.4,62.8,25.6,31.4,13.4,14.1,23.3,31,70.8,53.1,68.7,34.1,37,1.5,16,46.6,69.7,35.2,44.6,70.8,,,,2024,,,,-0.62642503829671,71.9,73.7
Maryland,102.18389912534,97.452416416973,0.63302445755137,1–9,1,10,44.4,50.4,31.6,38,16.9,16.4,28,28.2,64.2,45.2,48.6,28.6,35.8,11.4,8.8,42.8,49.6,35.3,35.2,65.6,,,,2024,,,,-2.4020934534832,73.6,82
Rice,92.662077739063,103.26334528274,0.22344251641482,0–3,0,3,39.2,58.1,29.7,24.9,22.8,16.5,20,34.7,68.7,43.7,59.3,22.5,37.1,6.5,18.4,61.1,54.2,44.9,33.5,68.4,,,,2024,,,,-0.76924239414322,74.5,65.2
"Abilene Christian",102.84973291153,115.5780056787,0.20721723579249,0–1,0,1,39.5,50.8,47.4,38.1,16.5,12,39,40,66.6,37.5,56.1,29.4,27.3,7.3,7.5,45,37.9,29.8,34.9,66.5,,,,2024,,,,-0.37673372184104,70.4,83.3
Rider,92.681242404426,97.003596155256,0.3718724368432,0–2,0,2,39.8,53.8,22.1,36.1,19.3,14.3,25,28.8,69.8,41,54.4,25,35.5,10.5,6.4,51.2,67.9,36.1,52.1,68.4,,,,2024,,,,-0.47183236652183,66.7,72.1
