TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
"UC Santa Barbara",99.082166341714,94.958730535511,0.6198311255333,19–12,19,31,47.3,44.2,37.7,23.1,23.9,19.8,31.9,30.6,65.9,47.9,42.4,30.6,32.1,4.8,6.8,56.7,50.3,30.3,31,67.6,,,,2023,,,,-9.1361356035665,78.6,73.9
"Arkansas Pine Bluff",83.587849464768,97.0207809295,0.15267009401985,13–17,13,30,42.8,42.9,43.2,41.3,25.7,23.2,34.6,33.1,74.2,44.1,42.7,25.7,28.9,9.1,6.1,54.7,57.4,23.7,28.1,73.4,,,,2023,,,,-14.650228766956,59.5,64.8
"Portland St.",91.994848604672,97.815331812501,0.33059158649902,13–16,13,29,45.4,47.5,22.4,26,20.9,21.7,27.1,35,64.6,41.5,47,34.6,32.5,4.1,6.3,52.8,67.3,37.4,31.1,65.3,,,,2023,,,,-13.246982669352,72.4,74.9
Indiana,119.80383751465,80.582969268482,0.98965175814567,27–3,27,30,55.9,43.5,31.3,27.6,17.9,22.2,28.5,26,71.9,56,42.6,37.1,30.4,11.7,7.4,61.2,49.1,32.8,30.7,70.6,,,,2023,,,,9.2974126639811,76.4,67.6
Louisiana,82.628375819672,87.466834100745,0.34199305090674,13–15,13,28,39.4,44.3,33.9,35.4,23,27.5,32.2,31.7,66.7,39.5,44.2,26.1,29.6,6.3,9.4,40.6,55.4,26.3,34.3,65.5,,,,2023,,,,-11.269075879172,63.5,70.7
"Central Michigan",90.725839267318,102.76699769274,0.19260777184967,6–23,6,29,44.6,50.5,21.7,34,24.9,19.3,35.8,31.3,70.4,43.7,52.6,31,31.1,7.2,6.1,47.2,49.6,35.3,34.3,69.6,,,,2023,,,,-19.448057504529,69.7,74
Brown,85.323570201726,94.259993254265,0.24131742499126,10–15,10,25,45.6,44.4,26.1,25.1,23.8,24,25.6,37.2,72.6,46.7,43.1,29.2,31.6,9.3,10.1,52.8,64.4,39.6,28.7,73.2,,,,2023,,,,-10.987387375262,57.6,72
Columbia,105.35667442621,85.471256417179,0.91724351340457,23–5,23,28,51.1,43.1,32.4,24.7,21.6,23.9,38.9,27.2,73,49.5,42.2,35.6,30.1,9.1,7.5,66.8,52.5,39.5,31.2,72.7,,,,2023,,,,0.52136914782617,65.5,69.2
"UC Irvine",90.060154166449,85.220583811036,0.65366772774093,22–6,22,28,41.6,42.7,29.1,23.9,23.5,28.7,37.5,31.9,65.1,40.4,42.8,29.5,28.4,8.9,10.2,56.3,57,32.9,34.6,66.8,,,,2023,,,,-3.7713866809359,77.5,69.6
Montana,98.760604726585,97.754418922164,0.52940712430076,12–16,12,28,48.6,47.3,27.3,19.6,19.7,15.8,25.8,26.6,69.5,45.2,47,36,31.8,7.4,7.9,54.1,49.1,38.1,34.9,69.9,,,,2023,,,,-12.283371201,77.2,76.5
UAB,94.603553676348,97.396774263561,0.41711508788995,12–17,12,29,48.5,46.3,32.3,31.7,21.6,18.2,24.6,29.7,72,49.1,44.9,31.9,33.3,5.1,8.1,56.3,44.7,42.6,27.9,72,,,,2023,,,,-13.101847862202,75.8,70.5
Tulane,97.278731579618,88.30433777697,0.75270625952347,17–13,17,30,47.7,41.8,25.4,22.2,23.4,21.6,33.4,32.9,68.7,48.2,41.9,31.1,27.7,6.6,9.3,59.6,54.8,35.9,34.8,68.2,,,,2023,,,,-7.3865231153239,72.5,70.6
FIU,91.698056432993,95.504929809199,0.38514138309592,11–18,11,29,44.5,48.9,33.1,36.8,26.8,23.3,37.2,32.4,74.1,43.6,50.6,30.9,30.1,5.6,10.6,50.2,52.9,32.6,31.1,74.2,,,,2023,,,,-14.376796359936,74,70.4
BYU,96.815257716781,86.36666273953,0.78807031432531,15–16,15,31,49,44.5,24,25.5,25,18.2,31.4,24.5,67,46.4,41.5,36.6,33.8,9.3,9,59,53.7,30.3,32.6,66.2,,,,2023,,,,-10.012566999459,72.8,72.7
"Illinois Chicago",88.590842439297,90.695243181923,0.43291230261936,18–15,18,33,43.6,46.5,40.2,29.9,23.5,23,33.7,29.3,63.2,42.9,47.1,30.1,30.2,7,9.4,64.7,57.3,30.2,32.3,63.2,,,,2023,,,,-10.942333300678,65.9,67.4
Xavier,83.28965804766,88.766632831229,0.32466960105694,7–23,7,30,41.2,47.3,23.5,30.9,25.3,23.5,28.2,33.4,69.2,39.1,46.9,31.6,32.1,9.6,10.9,62.5,66.8,25.7,33.2,69.2,,,,2023,,,,-13.277200060326,65.8,70.7
Charlotte,91.069271270151,93.95361254546,0.41130371981275,12–19,12,31,44.5,45.4,29.8,29.5,23.5,19.6,29.9,33.9,68.3,44.4,46.2,29.9,29.1,7.4,7.1,48,47.9,23,33.5,68.4,,,,2023,,,,-13.578021635636,74.2,69.5
Canisius,83.354516886138,102.33323551669,0.086351906937714,9–21,9,30,42.6,46.1,25.8,36.2,25.5,24.1,30.2,34.2,69.8,43.3,46.3,27.8,30.4,5.3,10.3,51.6,58.5,38.5,31.8,70.4,,,,2023,,,,-19.702787877212,73.9,71.2
"Wake Forest",96.726798976004,82.496784374151,0.86176275321967,16–16,16,32,44.7,43,27.5,29.6,22.3,21.3,27.8,30.7,66.6,44.6,43.8,29.8,27.3,9.2,7.8,59.1,53.8,39.9,27.3,65.7,,,,2023,,,,-2.9582155753816,66,69.3
"Florida Atlantic",88.775512802988,94.735507972413,0.32142139404284,10–18,10,28,44,47.4,35.8,28.2,25.2,22.1,33.5,30.1,71.6,45.2,47.6,27.5,31.3,5.9,7.8,44,49.7,28.6,31.5,71.2,,,,2023,,,,-13.838908773625,68.2,74.2
Northeastern,90.737223301495,89.995406786024,0.52358347729603,19–12,19,31,48.9,43.5,24.7,26.1,26.8,24.4,35,31.8,70.8,49.4,41.2,31.8,31.9,7.8,5.9,51.9,56.7,29.2,34.1,71.6,,,,2023,,,,-9.12074411882,70.1,70.4
"Robert Morris",78.982686949166,90.528961340082,0.17234856998421,9–19,9,28,38.2,44.8,25.2,34.3,21.1,24,26.1,30.8,69,37.3,48.8,26.8,25.4,4.8,6.5,55.3,54.8,32.8,36.9,69.1,,,,2023,,,,-15.614815765299,69.2,73.4
Seattle,84.150295091299,97.051366480651,0.16242240001503,6–24,6,30,43.4,45.3,28.4,35.6,27.9,19.1,30.3,34,70.8,41.7,46.7,30.7,28.5,7.3,10,56.7,53.7,38.5,35.1,70.7,,,,2023,,,,-20.346848099067,69.7,73.9
Villanova,115.92016805874,82.142492704152,0.98131426508632,28–6,28,34,49.5,42.1,24.1,28.7,15.2,22,31.6,31.5,65.7,49.3,39.1,33.3,33.7,13.5,6.3,62.2,51.3,34.1,26.3,66.1,,,,2023,,,,6.8960496596241,77,70.1
Howard,84.108795656965,92.158317888167,0.25902099503624,16–14,16,30,40.3,41.6,31.8,33.5,21.9,25.1,29.5,35.2,71.1,37.2,41.5,30.7,27.8,9.6,7.8,57.8,53.9,34.3,36.8,70.9,,,,2023,,,,-11.86477523425,66.8,63.3
